,Timestamp,LineId,JourneyPattern,Timeframe,VehicleJourney,Longitude,Latitude,StopId,AtStop,Date
1334505,1359352806000000,15.0,00151001,2013-01-28,4964,-6.3288660000000005,53.271618,6282.0,1,2013-01-28 06:00:06
1334514,1359352828000000,15.0,00151001,2013-01-28,4964,-6.328997,53.271782,6282.0,0,2013-01-28 06:00:28
1334526,1359352845000000,15.0,00151001,2013-01-28,4964,-6.329919,53.272728,6282.0,0,2013-01-28 06:00:45
1334544,1359352865000000,15.0,00151001,2013-01-28,4964,-6.33104,53.274612,6335.0,0,2013-01-28 06:01:05
1334556,1359352885000000,15.0,00151001,2013-01-28,4964,-6.331206,53.275925,6326.0,1,2013-01-28 06:01:25
1334568,1359352906000000,15.0,00151001,2013-01-28,4964,-6.331282,53.276772,6326.0,0,2013-01-28 06:01:46
1334588,1359352924000000,15.0,00151001,2013-01-28,4964,-6.330267,53.276752,6326.0,0,2013-01-28 06:02:04
1334598,1359352945000000,15.0,00151001,2013-01-28,4964,-6.32625,53.277134,4886.0,0,2013-01-28 06:02:25
1334611,1359352966000000,15.0,00151001,2013-01-28,4964,-6.323914,53.277687,4886.0,0,2013-01-28 06:02:46
1334626,1359352986000000,15.0,00151001,2013-01-28,4964,-6.321857,53.278439,4886.0,0,2013-01-28 06:03:06
1334639,1359353007000000,15.0,00151001,2013-01-28,4964,-6.318412,53.27927,4886.0,0,2013-01-28 06:03:27
1334671,1359353045000000,15.0,00151001,2013-01-28,4964,-6.31827,53.281879,1150.0,1,2013-01-28 06:04:05
1334682,1359353066000000,15.0,00151001,2013-01-28,4964,-6.318230000000002,53.282375,1150.0,0,2013-01-28 06:04:26
1334692,1359353084000000,15.0,00151001,2013-01-28,4964,-6.315268,53.282307,1150.0,0,2013-01-28 06:04:44
1334711,1359353107000000,15.0,00151001,2013-01-28,4964,-6.314893,53.282532,1151.0,1,2013-01-28 06:05:07
1334723,1359353129000000,15.0,00151001,2013-01-28,4964,-6.312547,53.283871,1152.0,0,2013-01-28 06:05:29
